M,N,K,bias,outdtype,splitK,us
128,1280,8192,True,torch.bfloat16,3,14.774
128,8192,1024,True,torch.bfloat16,0,12.67
192,8192,1024,True,torch.bfloat16,0,12.70
256,8192,1024,True,torch.bfloat16,0,23.80
320,8192,1024,True,torch.bfloat16,0,23.82
512,8192,1024,True,torch.bfloat16,0,44.61
1024,8192,1024,True,torch.bfloat16,0,76.33
2048,8192,1024,True,torch.bfloat16,0,140.05
4096,8192,1024,True,torch.bfloat16,0,277.80
8192,8192,1024,True,torch.bfloat16,0,552.69
16384,8192,1024,True,torch.bfloat16,0,1095.12